english_sentence,alc_statement
A organization cannot be a order.,Organization ⊑ ¬Order
All invoices are defined as a city or a device.,Invoice ⊑ City ⊔ Device
Every movie is a doctor that knows only schools.,Movie ⊑ Doctor ⊓ ∀knows.School
A school is always a software.,School ⊑ Software
"If a student teaches anything, it must be a customer.",Student ⊑ ∀teaches.Customer
Every customer is a food that designs at least one country.,Customer ⊑ Food ⊓ ∃designs.Country
Every plant is a manager.,Plant ⊑ Manager
Every artist is a patient that designs only machines.,Artist ⊑ Patient ⊓ ∀designs.Machine
A cat is neither a publication nor a teacher.,Cat ⊑ ¬(Publication ⊔ Teacher)
"If a cat creates anything, it must be a music.",Cat ⊑ ∀creates.Music
Each bank authors a building.,Bank ⊑ ∃authors.Building
Every publication buys something that is both a manager and a account.,Publication ⊑ ∃buys.(Manager ⊓ Account)
All organizations are books.,Organization ⊑ Book
Whatever is both a teacher and a dog uses a animal.,Teacher ⊓ Dog ⊑ ∃uses.Animal
Every software teaches at least one building.,Software ⊑ ∃teaches.Building
A music is neither a book nor a organization.,Music ⊑ ¬(Book ⊔ Organization)
Anything that is located in a employee also is located in a music.,∃locatedIn.Employee ⊑ ∃locatedIn.Music
No food is a order.,Food ⊑ ¬Order
Each customer sells a cat.,Customer ⊑ ∃sells.Cat
Every hospital that is located in a food is a school.,Hospital ⊓ ∃locatedIn.Food ⊑ School
Every doctor works for something that is both a transaction and a order.,Doctor ⊑ ∃worksFor.(Transaction ⊓ Order)
A scientist is something that produces a department.,Scientist ⊑ ∃produces.Department
Every dog is either a patient or a doctor.,Dog ⊑ Patient ⊔ Doctor
A animal or a product.,Animal ⊔ Product
A course is something that knows a bank.,Course ⊑ ∃knows.Bank
Each teacher maintains a transaction.,Teacher ⊑ ∃maintains.Transaction
A company is something that works for a artist.,Company ⊑ ∃worksFor.Artist
Every artist is a supplier that uses only foods.,Artist ⊑ Supplier ⊓ ∀uses.Food
Every library treats something that is both a course and a student.,Library ⊑ ∃treats.(Course ⊓ Student)
Anything that teaches a scientist also teaches a library.,∃teaches.Scientist ⊑ ∃teaches.Library
A manager cannot be a city.,Manager ⊑ ¬City
All teachers are defined as a customer or a device.,Teacher ⊑ Customer ⊔ Device
A library cannot be a product.,Library ⊑ ¬Product
Each manager uses a device.,Manager ⊑ ∃uses.Device
All musics are defined as a supplier or a dog.,Music ⊑ Supplier ⊔ Dog
Every department is both a researcher and a student.,Department ⊑ Researcher ⊓ Student
Every customer is located in only hardwares.,Customer ⊑ ∀locatedIn.Hardware
A country is neither a account nor a product.,Country ⊑ ¬(Account ⊔ Product)
Anything that attends only banks.,∀attends.Bank
No publication is a manager.,Publication ⊑ ¬Manager
Whatever is both a account and a product creates a doctor.,Account ⊓ Product ⊑ ∃creates.Doctor
Anything that delivers a dog also delivers a movie.,∃delivers.Dog ⊑ ∃delivers.Movie
A hardware is always a software.,Hardware ⊑ Software
Anything that funds a course also funds a account.,∃funds.Course ⊑ ∃funds.Account
Nothing that is a food is a university.,Food ⊑ ¬University
A publication and a city.,Publication ⊓ City
All foods are defined as a hardware or a device.,Food ⊑ Hardware ⊔ Device
Every hardware works for something that is both a publication and a engineer.,Hardware ⊑ ∃worksFor.(Publication ⊓ Engineer)
A animal is always a supplier.,Animal ⊑ Supplier
Anything that works for a invoice.,∃worksFor.Invoice
A dog cannot be a music.,Dog ⊑ ¬Music
Each library treats a school.,Library ⊑ ∃treats.School
Whatever is both a hardware and a artist authors a machine.,Hardware ⊓ Artist ⊑ ∃authors.Machine
A publication is neither a order nor a university.,Publication ⊑ ¬(Order ⊔ University)
Every researcher produces only things that are either a school or a project.,Researcher ⊑ ∀produces.(School ⊔ Project)
Nothing that is a course is a dog.,Course ⊑ ¬Dog
All doctors are defined as a school or a organization.,Doctor ⊑ School ⊔ Organization
A artist and a hardware.,Artist ⊓ Hardware
Every animal is a engineer that works for at least one software.,Animal ⊑ Engineer ⊓ ∃worksFor.Software
Every music develops only courses.,Music ⊑ ∀develops.Course
A course cannot be a movie.,Course ⊑ ¬Movie
Whatever is both a scientist and a cat teaches a device.,Scientist ⊓ Cat ⊑ ∃teaches.Device
Every student funds only things that are either a doctor or a teacher.,Student ⊑ ∀funds.(Doctor ⊔ Teacher)
A device is neither a country nor a music.,Device ⊑ ¬(Country ⊔ Music)
A device is neither a invoice nor a engineer.,Device ⊑ ¬(Invoice ⊔ Engineer)
Every hospital is a artist.,Hospital ⊑ Artist
Every animal is a building that creates at least one city.,Animal ⊑ Building ⊓ ∃creates.City
Every animal delivers at least one service.,Animal ⊑ ∃delivers.Service
All courses are products.,Course ⊑ Product
Each vehicle treats a cat.,Vehicle ⊑ ∃treats.Cat
Every transaction is either a account or a dog.,Transaction ⊑ Account ⊔ Dog
Every publication operates at least one food.,Publication ⊑ ∃operates.Food
No dog is a city.,Dog ⊑ ¬City
All projects are products as well as citys.,Project ⊑ Product ⊓ City
All organizations are customers.,Organization ⊑ Customer
Every device is both a course and a dog.,Device ⊑ Course ⊓ Dog
Every hospital is either a book or a course.,Hospital ⊑ Book ⊔ Course
Each hospital works for a animal.,Hospital ⊑ ∃worksFor.Animal
Every university attends at least one service.,University ⊑ ∃attends.Service
A plant sells exclusively employees.,Plant ⊑ ∀sells.Employee
Anything that produces only librarys.,∀produces.Library
"If a person treats anything, it must be a patient.",Person ⊑ ∀treats.Patient
Whatever is both a country and a transaction supervises a food.,Country ⊓ Transaction ⊑ ∃supervises.Food
All employees are defined as a teacher or a supplier.,Employee ⊑ Teacher ⊔ Supplier
"If a book produces anything, it must be a food.",Book ⊑ ∀produces.Food
A customer is always a university.,Customer ⊑ University
All researchers are engineers as well as librarys.,Researcher ⊑ Engineer ⊓ Library
No supplier is a food.,Supplier ⊑ ¬Food
All scientists are defined as a project or a book.,Scientist ⊑ Project ⊔ Book
Every university delivers at least one teacher.,University ⊑ ∃delivers.Teacher
Every service is either a building or a school.,Service ⊑ Building ⊔ School
Anything that maintains only publications.,∀maintains.Publication
Every engineer is either a course or a supplier.,Engineer ⊑ Course ⊔ Supplier
Every animal uses only things that are either a machine or a cat.,Animal ⊑ ∀uses.(Machine ⊔ Cat)
Every university delivers only things that are either a software or a hospital.,University ⊑ ∀delivers.(Software ⊔ Hospital)
A animal knows exclusively buildings.,Animal ⊑ ∀knows.Building
Every invoice is either a library or a researcher.,Invoice ⊑ Library ⊔ Researcher
A transaction or a bank.,Transaction ⊔ Bank
Anything that develops only countrys.,∀develops.Country
A car develops exclusively transactions.,Car ⊑ ∀develops.Transaction
Anything that designs a school.,∃designs.School
Anything that owns only projects.,∀owns.Project
All devices are banks.,Device ⊑ Bank
Every product is a dog.,Product ⊑ Dog
A bank is something that uses a vehicle.,Bank ⊑ ∃uses.Vehicle
A engineer is neither a building nor a transaction.,Engineer ⊑ ¬(Building ⊔ Transaction)
Every publication that operates a school is a vehicle.,Publication ⊓ ∃operates.School ⊑ Vehicle
Every school is either a movie or a building.,School ⊑ Movie ⊔ Building
Every software is either a department or a service.,Software ⊑ Department ⊔ Service
"If a plant creates anything, it must be a library.",Plant ⊑ ∀creates.Library
Every bank is a country that sells at least one engineer.,Bank ⊑ Country ⊓ ∃sells.Engineer
A city and a company.,City ⊓ Company
Every account is both a animal and a organization.,Account ⊑ Animal ⊓ Organization
Every account that sells a hospital is a dog.,Account ⊓ ∃sells.Hospital ⊑ Dog
All companys are defined as a hardware or a transaction.,Company ⊑ Hardware ⊔ Transaction
No device is a library.,Device ⊑ ¬Library
Whatever is both a supplier and a plant produces a project.,Supplier ⊓ Plant ⊑ ∃produces.Project
All organizations are accounts.,Organization ⊑ Account
Each music attends a country.,Music ⊑ ∃attends.Country
A software and a company.,Software ⊓ Company
All engineers are publications as well as patients.,Engineer ⊑ Publication ⊓ Patient
A city uses exclusively employees.,City ⊑ ∀uses.Employee
Every employee is both a artist and a car.,Employee ⊑ Artist ⊓ Car
A cat is something that manages a account.,Cat ⊑ ∃manages.Account
Every publication is a person that authors only hardwares.,Publication ⊑ Person ⊓ ∀authors.Hardware
A music is something that produces a building.,Music ⊑ ∃produces.Building
Every employee is either a organization or a music.,Employee ⊑ Organization ⊔ Music
Every device is a car that designs at least one software.,Device ⊑ Car ⊓ ∃designs.Software
Every teacher that authors only departments is a invoice.,Teacher ⊓ ∀authors.Department ⊑ Invoice
All suppliers are hospitals.,Supplier ⊑ Hospital
Anything that produces a organization also produces a teacher.,∃produces.Organization ⊑ ∃produces.Teacher
A scientist produces exclusively patients.,Scientist ⊑ ∀produces.Patient
Each music sells a software.,Music ⊑ ∃sells.Software
Whatever is both a publication and a university is located in a service.,Publication ⊓ University ⊑ ∃locatedIn.Service
A researcher and a cat.,Researcher ⊓ Cat
Each music authors a country.,Music ⊑ ∃authors.Country
Every cat is a organization.,Cat ⊑ Organization
A book is neither a department nor a engineer.,Book ⊑ ¬(Department ⊔ Engineer)
Whatever is both a supplier and a order likes a university.,Supplier ⊓ Order ⊑ ∃likes.University
A supplier is always a movie.,Supplier ⊑ Movie
A building cannot be a dog.,Building ⊑ ¬Dog
All products are customers as well as citys.,Product ⊑ Customer ⊓ City
Every transaction is either a animal or a machine.,Transaction ⊑ Animal ⊔ Machine
Every country is a music.,Country ⊑ Music
Every researcher is both a employee and a movie.,Researcher ⊑ Employee ⊓ Movie
A course or a supplier.,Course ⊔ Supplier
Whatever is both a account and a animal manages a bank.,Account ⊓ Animal ⊑ ∃manages.Bank
Every organization is a food that owns at least one engineer.,Organization ⊑ Food ⊓ ∃owns.Engineer
Every project is both a publication and a building.,Project ⊑ Publication ⊓ Building
Every scientist that delivers only foods is a invoice.,Scientist ⊓ ∀delivers.Food ⊑ Invoice
"If a building attends anything, it must be a software.",Building ⊑ ∀attends.Software
A city is neither a library nor a scientist.,City ⊑ ¬(Library ⊔ Scientist)
Every product knows only schools.,Product ⊑ ∀knows.School
A device is always a researcher.,Device ⊑ Researcher
Whatever is both a university and a book operates a device.,University ⊓ Book ⊑ ∃operates.Device
A course cannot be a dog.,Course ⊑ ¬Dog
No library is a vehicle.,Library ⊑ ¬Vehicle
Anything that teaches a university.,∃teaches.University
Each publication buys a university.,Publication ⊑ ∃buys.University
A employee creates exclusively hardwares.,Employee ⊑ ∀creates.Hardware
Every animal supervises something that is both a transaction and a student.,Animal ⊑ ∃supervises.(Transaction ⊓ Student)
All machines are persons as well as vehicles.,Machine ⊑ Person ⊓ Vehicle
All orders are plants.,Order ⊑ Plant
"If a employee teaches anything, it must be a manager.",Employee ⊑ ∀teaches.Manager
A invoice or a department.,Invoice ⊔ Department
Every music that supervises only invoices is a food.,Music ⊓ ∀supervises.Invoice ⊑ Food
Each customer creates a doctor.,Customer ⊑ ∃creates.Doctor
Anything that knows a software also knows a publication.,∃knows.Software ⊑ ∃knows.Publication
No department is a software.,Department ⊑ ¬Software
